"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 06 22:56:45 GMT 2025","Thu Nov 06 22:56:45 GMT 2025","161","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","create_product_returns_201_or_200","create_product_returns_201_or_200",""
"passed","Thu Nov 06 22:56:46 GMT 2025","Thu Nov 06 22:56:46 GMT 2025","180","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","list_products_ok_default","list_products_ok_default",""
"passed","Thu Nov 06 22:56:45 GMT 2025","Thu Nov 06 22:56:46 GMT 2025","356","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","get_product_by_id_ok","get_product_by_id_ok",""
"passed","Thu Nov 06 22:56:46 GMT 2025","Thu Nov 06 22:56:47 GMT 2025","321","Gradle suite","Gradle test","tests.UserTests","tests.UserTests","register_creates_user","register_creates_user",""
"passed","Thu Nov 06 22:56:46 GMT 2025","Thu Nov 06 22:56:46 GMT 2025","234","Gradle suite","Gradle test","tests.UserTests","tests.UserTests","login_returns_token","login_returns_token",""
"passed","Thu Nov 06 22:56:42 GMT 2025","Thu Nov 06 22:56:43 GMT 2025","1612","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","create_cart_creates_new_cart","create_cart_creates_new_cart",""
"passed","Thu Nov 06 22:56:43 GMT 2025","Thu Nov 06 22:56:45 GMT 2025","1458","Gradle suite","Gradle test","tests.InvoiceTests","tests.InvoiceTests","create_invoice_returns_201_or_200","create_invoice_returns_201_or_200",""
"passed","Thu Nov 06 22:56:45 GMT 2025","Thu Nov 06 22:56:45 GMT 2025","234","Gradle suite","Gradle test","tests.InvoiceTests","tests.InvoiceTests","list_invoices_first_page_ok","list_invoices_first_page_ok",""
"failed","Thu Nov 06 22:56:46 GMT 2025","Thu Nov 06 22:56:46 GMT 2025","132","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","list_products_with_filters_ok","list_products_with_filters_ok",""
